,0,1,2
0,ARNZ70R1187B9A4824,ARJGQDS1187B99DDEA,1.9999999999999973
1,ARNZ70R1187B9A4824,ARAZCWP129462A97F1,1.8579234972677598
2,ARNZ70R1187B9A4824,ARE8GLF1187FB52532,1.4679707054788174
3,ARNZ70R1187B9A4824,ARN69L01187B99DFFA,1.944720496894407
4,ARNZ70R1187B9A4824,ARH6W4X1187B99274F,1.4127067275312428
5,ARNZ70R1187B9A4824,ARKBTPV1187FB38A79,1.8702473701217104
6,ARNZ70R1187B9A4824,ARMEW4Q1187FB57238,1.8504629087073703
7,ARNZ70R1187B9A4824,ARO5T1P1187B9AC680,1.2963752665245198
8,ARNZ70R1187B9A4824,ARVT7941187B9AEB48,1.668519123896698
9,ARNZ70R1187B9A4824,AR03BDP1187FB5B324,1.8374181635051203
10,ARNZ70R1187B9A4824,ARUFTTR1187FB3A4B0,1.4394409937888197
11,ARNZ70R1187B9A4824,ARW2AMZ1187FB381AC,1.7724449463579885
12,ARNZ70R1187B9A4824,AR91C8S1187B990901,1.4328285295554466
13,ARNZ70R1187B9A4824,ARB054P1187B9AD32E,1.5122947332595935
14,ARNZ70R1187B9A4824,AR57Z841187B9B7D7D,1.8454658385093166
15,ARNZ70R1187B9A4824,AR6LKUT1187FB57287,1.6026606757411557
16,ARNZ70R1187B9A4824,AR1RMYB1187FB5A59E,1.363975155279502
17,ARNZ70R1187B9A4824,AR5KAA01187FB5AEB7,1.8583517445495856
18,ARNZ70R1187B9A4824,ARSF0K11187B9AF319,1.6799146439050399
19,ARNZ70R1187B9A4824,ARLLANI1187FB5116F,1.9333211545487758
20,ARNZ70R1187B9A4824,ARMM6WZ1187FB4958D,1.603525088615003
21,ARNZ70R1187B9A4824,AR8L6W21187B9AD317,1.676131322094053
22,ARNZ70R1187B9A4824,ARE2G8K1187FB53219,1.7684651650078576
23,ARNZ70R1187B9A4824,ARJA1841187FB3A029,1.3936705116829347
24,ARNZ70R1187B9A4824,ARAPI451187B9B6E6F,1.8385093167701851
25,ARNZ70R1187B9A4824,AR20CFC1187B98A25D,1.9032402903539625
26,ARNZ70R1187B9A4824,ARVHQNN1187B9B9FA3,1.6567780046040907
27,ARNZ70R1187B9A4824,ARUM60L1187B9A7E1F,1.7782476542883563
28,ARNZ70R1187B9A4824,AR6681Y1187FB39B02,1.7511944577161953
29,ARNZ70R1187B9A4824,AR5FP401187FB523C9,1.5826953632818141
30,ARNZ70R1187B9A4824,ARSC6WR1187FB40B18,1.9097527868043258
31,ARNZ70R1187B9A4824,AR65K7A1187FB4DAA4,1.673244751945908
32,ARNZ70R1187B9A4824,ARYVO9V1187B9B1FC6,1.5958669530388332
33,ARNZ70R1187B9A4824,ARCNOK81187B98CA3F,1.839514066496163
34,ARNZ70R1187B9A4824,ARP061U1187FB4D572,1.620090263193172
35,ARNZ70R1187B9A4824,ARML8X41187B990644,1.2992739042953376
36,ARNZ70R1187B9A4824,ARCJT7I1187B99F56F,1.9627329192546572
37,ARNZ70R1187B9A4824,AR6XPWV1187B9ADAEB,1.3117556555929109
38,ARNZ70R1187B9A4824,ARK9TRQ1187B99C095,1.596600196142531
39,ARNZ70R1187B9A4824,ARKETDZ1187B9B2566,1.9875776397515512
40,ARNZ70R1187B9A4824,AR6FIPL1187FB4D5AA,1.338670347365999
41,ARNZ70R1187B9A4824,ARWT91C1187B9ACEAA,1.4859358309926016
42,ARNZ70R1187B9A4824,ARTH9041187FB43E1F,1.8631211180124219
43,ARNZ70R1187B9A4824,ARD0FN11187B9B25CD,1.7490158341352446
44,ARNZ70R1187B9A4824,ARDK87R1187B98D51C,1.4840898232202564
45,ARNZ70R1187B9A4824,ARH861H1187B9B799E,1.6972439838946274
46,ARNZ70R1187B9A4824,ARMZ4K51187B9A09C6,1.9192546583850925
47,ARNZ70R1187B9A4824,ARMWCRO1187B9B1705,1.5903510039000432
48,ARNZ70R1187B9A4824,ARIPLUN1187B99B9F9,1.6316425120772937
49,ARNZ70R1187B9A4824,ARNHHIV1187FB4EA23,1.650621118012422
50,ARNZ70R1187B9A4824,AROQSCE1187B99F0FC,1.754510499852114
51,ARNZ70R1187B9A4824,AR40GSU1187FB3AA01,1.5469698564761196
52,ARNZ70R1187B9A4824,ARFFDZU1187FB50682,1.9627329192546565
53,ARNZ70R1187B9A4824,ARYGKAY1187FB4A56B,1.9258492446898237
54,ARNZ70R1187B9A4824,ARUJ5A41187FB3F5F1,1.4198120719859844
55,ARNZ70R1187B9A4824,ARRZUPG11F43A69EF7,1.6790566770186337
56,ARNZ70R1187B9A4824,ARNDL191187FB51583,1.7324818476073836
57,ARNZ70R1187B9A4824,ARASYMJ1187B9ACAF2,1.4196157735085946
58,ARNZ70R1187B9A4824,ARJ6VQ21187B98BC8A,1.9248328519998412
59,ARNZ70R1187B9A4824,AR60ODO1187FB4D9AB,1.7973476582172214
60,ARNZ70R1187B9A4824,ARRDIHY1187FB3C1B3,1.9428015203485653
61,ARNZ70R1187B9A4824,ARULZ741187B9AD2EF,1.6266111370408938
62,ARNZ70R1187B9A4824,ARFWL8S1187B9B4B44,1.7912301844813183
63,ARNZ70R1187B9A4824,AR2UWUD1187B9B3B01,1.8421325051759816
64,ARNZ70R1187B9A4824,AR9L6R11187B9AA3F2,1.556611957389223
65,ARNZ70R1187B9A4824,ARYJSY01187B9B7C65,1.5942577434083334
66,ARNZ70R1187B9A4824,ARTASUV1187B9A2B67,1.975155279503104
67,ARNZ70R1187B9A4824,ARXPPEY1187FB51DF4,1.8145847711065102
